foodId,foodName
972,黑豆
973,猪肉炖茄子
974,蘑菇鸭块汤
975,菜心烧牛蹄筋
976,木耳菜
977,丝瓜银耳虾羹
978,珧柱冬瓜炖田鸡
979,山药扁豆粥
980,菊花白菜
981,乌梅茵陈蜜露
982,雪菜炒黄豆芽
983,健胃大豆芽肉片汤
984,车前草炖猪小肚
985,桂圆童子鸡
986,糟蒸鸭肝
987,奶香蘑菇汤
988,桂花馒头
989,海带炖排骨
990,鸽蛋粥
991,荠菜家常饼
992,炖鸡蛋蹄子
993,茼蒿
994,紫沙果美肤汁
995,麻油拌菠菜芹菜
996,黄瓜拌鱿鱼
997,小米枣仁粥
998,紫菜豆腐羹
999,仙枣赤豆粥
1000,洋参鸡肉汤
1001,羊肝胡萝卜粥
1002,护国菜
1003,松子全鱼
1004,三色白菜卷
1005,卷心菜菠萝汁
1006,当归猪心汤
1007,苹果银耳煲鸭肾汤
1008,白扁豆
1009,蜜汁糯米藕
1010,豆腐熬海带
1011,桂圆糯米粥
1012,酱汁茭白
1013,青葱
1014,黄芪煲鹌鹑
1015,柠檬乳鸽汤
1016,冰糖五彩玉米羹
1017,海参炖鲍鱼
1018,麻酱白菜心
1019,西红柿萝卜汤
1020,猪脾粥
1021,鲤鱼阿胶粥
1022,蜜饯胡萝卜粥
1023,糖水百合汤
1024,卤汁黄豆
1025,香菇（鲜）
1026,蒜茸野菊花
1027,杭州白切羊肉
1028,猕猴桃苡仁粥
1029,绿菜花金针菇
1030,葱香菱角
1031,豆腐素蒸包
1032,茯苓包子
1033,红烧鱼肉
1034,参枣炖蘑菇
1035,腌雪里蕻
1036,淡菜(鲜)
1037,小米蛋奶粥
1038,萝卜香菇豆苗汤
1039,酸菜豌豆汤
1040,清蒸茄子
1041,人参杞子粥
1042,莲子茶
1043,韭菜杂烩粥
1044,芝麻贡菜
1045,海参煲鸡汤
1046,番茄羊排粥
1047,油菜腐丝
1048,半边莲鲫鱼汤
1049,海狗
1050,海虾豆腐
1051,番茄草莓汁
1052,松子粥
1053,木耳黄瓜
1054,当归益母草蛋
1055,软酥鸡爪
1056,川芎白芷炖鱼头
1057,木耳炒豆腐皮
1058,蛏子
1059,山药炖羊肚
1060,砂锅甲鱼汤
1061,归芪蒸鸡
1062,海带炖鲫鱼
1063,枣（干）
1064,猪血
1065,黑木耳炒猪肝片
1066,菊花茶粥
1067,首乌粥
1068,豆腐脑素三鲜
1069,莲藕山药汤
1070,黄豆芽豆腐汤
1071,罗汉果
1072,鳕鱼拌腐皮丝
1073,银耳杏仁汤
1074,冬瓜鳢鱼汤
1075,猪肚鸡脯羹
1076,五香蒜苔
1077,羊肉萝卜粥
1078,白醋鸡蛋
1079,胡萝卜炒青笋
1080,香菇洋白菜
1081,番茄荸荠饮
1082,砂锅鸡肉莲藕汤
1083,滑蛋牛肉
1084,金针木耳猪肝汤
1085,芹菜炒蛋
1086,嫩豇豆汤
1087,花生芝麻糊
1088,葱香豌豆汤
1089,北芪参枣生鱼汤
1090,毛豆炒豆腐
1091,鸡肝粥
1092,清煨玉米笋
1093,荷叶粉蒸牛肉
1094,生菜大明虾
1095,海米拌圆白菜
1096,干炒牛肉丝
1097,香菇扒菜心
1098,猪网油
1099,竹笋沙拉
1100,菠菜洋葱牛奶羹
1101,燕窝瘦肉汤
1102,香菇茯苓粥
1103,番茄玫瑰汁
1104,盐水大葱
1105,油焖茄子
1106,泡椒
1107,珊瑚菜花
1108,炝炒西兰花
1109,百合花鸡蛋羹
1110,豆腐香菇蛋花汤
1111,枸杞炖乌骨鸡
1112,浇汁苹果豆腐
1113,松子仁烧香菇
1114,紫苏粥
1115,薏米汤
1116,丝瓜蛋汤
1117,羊肝
1118,西米甜瓜粥
1119,砂仁粥
1120,香菇豆苗
1121,什锦果冻
1122,发菜鱼片芫荽汤
1123,明珠甲鱼
1124,玫瑰香粥
1125,青豆
1126,扁豆糕
1127,芸豆
1128,栗子布丁
1129,绵茵陈粥
1130,西米
1131,冬菜苦瓜
1132,佛手白菜
1133,芥末拌白菜
1134,豆腐菜远牛肉汤
1135,薏仁党参粥
1136,糖醋草鱼
1137,百合绿豆沙羹
1138,黄豆小米粥
1139,鲜虾肉泥
1140,麦冬小麦粥
1141,虾米拌圆白菜
